product,(All)
,
Row Labels,Sum of total_sales
3/7/2021,219899
3/8/2021,2197987
3/9/2021,2960783
3/10/2021,3207661
3/11/2021,1014891
3/12/2021,1820173
3/13/2021,1694905
3/14/2021,454730
3/15/2021,1505876
3/16/2021,4169026
3/17/2021,2114152
3/18/2021,470996
3/19/2021,1270607
3/20/2021,1700154
3/21/2021,1156438
3/22/2021,1403406
3/23/2021,2330206
3/24/2021,149624
3/25/2021,1345599
3/26/2021,115067
3/27/2021,156038
3/28/2021,140850
3/29/2021,176425
3/30/2021,105115
3/31/2021,105136
4/1/2021,94452
4/2/2021,151142
4/3/2021,1617935
4/4/2021,780632
4/5/2021,985680
4/6/2021,2422346
4/7/2021,1370441
4/8/2021,640861
4/9/2021,2607904
4/10/2021,3169758
4/11/2021,3097805
4/12/2021,1158715
4/13/2021,2184211
4/14/2021,1957372
4/15/2021,685703
4/16/2021,1776378
4/17/2021,4588842
4/18/2021,2155879
4/19/2021,688173
4/20/2021,1872223
4/21/2021,1947885
4/22/2021,1330227
4/23/2021,1858800
4/24/2021,2824657
4/25/2021,694830
4/26/2021,2221724
4/27/2021,747944
4/28/2021,634900
4/29/2021,756404
4/30/2021,709141
5/1/2021,683180
5/2/2021,2713947
5/3/2021,1656418
5/4/2021,1302588
5/5/2021,4371484
5/6/2021,2211273
5/7/2021,1313648
5/8/2021,2831396
5/9/2021,2088940
5/10/2021,4156649
5/11/2021,2999571
5/12/2021,2355609
5/13/2021,3453684
5/14/2021,2264579
5/15/2021,2513588
5/16/2021,2035350
5/17/2021,2278576
5/18/2021,4770632
5/19/2021,3425870
5/20/2021,2946587
5/21/2021,509586
5/22/2021,422717
5/23/2021,1175983
5/24/2021,1774317
5/25/2021,2978662
5/26/2021,600172
5/27/2021,2113266
5/28/2021,413134
5/29/2021,437828
5/30/2021,508428
5/31/2021,282019
6/1/2021,201648
6/2/2021,273798
6/3/2021,726117
6/4/2021,4783666
6/5/2021,1381470
6/6/2021,883364
6/7/2021,3089481
6/8/2021,2189692
6/9/2021,732934
6/10/2021,6038592
6/11/2021,3008014
6/12/2021,4218605
6/13/2021,1906680
6/14/2021,1307349
6/15/2021,2485951
6/16/2021,113088
6/17/2021,10239903
6/18/2021,2865317
6/19/2021,1848553
6/20/2021,225832
6/21/2021,2529547
6/22/2021,3181314
